address,latitude,longitude,flag
"Japan, 〒379-1728 Gunma, Tone District, Minakami, Yubiso, 湯吹山国有林",36.83537889999999,138.9454759,
"吾妻郡嬬恋村大字干俣 バラギ高原, Gunma 377-1611, Japan",36.5419378,138.4768264,
"5 Gokita-44番地 Nishi, Higashikawa, Kamikawa District, Hokkaido 071-1404, Japan",43.7293575,142.5356983,
"Nakagoryo, Furano, Hokkaido 076-8511, Japan",43.3232566,142.3546251,
"Nishioka-112 Kamuicho, Asahikawa, Hokkaido 074-1181, Japan",43.703924,142.1867844,
"Tokiwa, Akaigawa, Yoichi District, Hokkaido 046-0571, Japan",43.0945863,140.9729901,
"Nisshin, Nayoro, Hokkaido 096-0066, Japan",44.3821749,142.5262673,
"7 Sen-17号 Kita, Pippu, Kamikawa District, Hokkaido 078-0327, Japan",43.9320972,142.4972875,
"Japan, 〒048-1711 Hokkaido, Abuta District, Rusutsu, Izumikawa, 13 13番地",42.7464966,140.9031225,
"2 Chome-4 Suehiro, Yubari, Hokkaido 068-0411, Japan",43.051382,141.9694202,
"Komatsukura-14-3 Nagayama, Shizukuishi, Iwate District, Iwate 020-0585, Japan",39.8220976,140.9385054,
"１１７ Appikogen, Hachimantai, Iwate 028-7306, Japan",40.01130879999999,140.9932274,
"国有林内 Wagacho Iwasaki Shinden, Kitakami, Iwate 024-0322, Japan",39.2329753,140.9186092,
"Nishitako Okunakayama, Ichinohe, Ninohe District, Iwate 028-5134, Japan",40.0891502,141.2011935,
"Japan, 〒399-9211 Nagano, Kitaazumi District, Hakuba, Kamishiro, 22184-10 白馬五竜エスカルプラザ",36.662937,137.836664,
"24196-47 Kamishiro, Hakuba, Kitaazumi District, Nagano 399-9211, Japan",36.6764392,137.816304,
"12860-1 Chikuniko, Otari, Kitaazumi District, Nagano 399-9422, Japan",36.7736493,137.887403,
"Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",36.6958787,137.8628653,
"Japan, 〒399-9422 Nagano, Kitaazumi District, Otari, 白馬乗鞍高原1285−１",36.764653,137.8816444,
"4819 Taira, Omachi, Nagano 398-0001, Japan",36.5583433,137.803572,
"Taira, Omachi, Nagano 398-0001, Japan",36.5522016,137.7660875,
"3807 Nojiri, Shinano, Kamiminochi District, Nagano 389-1303, Japan",36.8262716,138.1616096,
"Madaraokogen, Iiyama, Nagano 389-2257, Japan",36.8521069,138.2912053,
"7148 Hirao, Yamanochi, Shimotakai District, Nagano 381-0401, Japan",36.7205693,138.4973314,
"3575-8 Furumi, Shinano, Kamiminochi District, Nagano 389-1302, Japan",36.8535654,138.2625863,
"3682-3 Togakushi, Nagano, 381-4101, Japan",36.7532548,138.0919634,
"12840-1 Chikuniko, Otari, Kitaazumi District, Nagano 399-9422, Japan",36.7514662,137.8700261,
"458 Kamishiro, Hakuba, Kitaazumi District, Nagano 399-9211, Japan",36.6310338,137.8442718,
"Ryozenji, Myoko, Niigata 944-0061, Japan",36.9969533,138.1823747,
"4820 Yasuzukaku Sugawa, Joetsu, Niigata 942-0534, Japan",37.0549965,138.4849328,
"2056-108 Maiko, Minamiuonuma, Niigata 949-6423, Japan",36.9828763,138.8261957,
"2910-114 Koguriyama, Minamiuonuma, Niigata 949-6636, Japan",37.0714276,138.8458556,
"Japan, 〒949-2113 Niigata, Myoko, Suginosawa, 272 レストラン アリエスカ 272",36.8567914,138.1549209,
"Japan, 〒957-0333 Niigata, Shibata, Kamisanko, 大平国有林無番地",37.9342559,139.4249577,
"5044-1 Tsuchidaru, Yuzawa, Minamiuonuma District, Niigata 949-6103, Japan",36.909795,138.8488978,
"Zaoonsen, Yamagata, 990-2301, Japan",38.1672471,140.3942144,
"2-chome-9-1 Nisekohirafu 1 Jo, Kutchan, Abuta District, Hokkaido 044-0080, Japan",42.8644634,140.7017795,
"Dai 1 Chiwari-509-1 Matsuoyoriki, Hachimantai, Iwate 028-7302, Japan",39.8943395,140.9766377,
